# English-French translations created from the Universal dictionary at 2011-05-28T05:42:42-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 anteroom ; antechamber ; entrance hall ; hall ; foyer ; lobby ; vestibule 	 entrée 	 house 
 any ; whatever ; whatsoever 	 facultatif 	 adjective 
 anyone 	 quiconque 	 pronoun 
 anything 	 n'importe quoi 	 pronoun 
 apartment ; flat 	 appartement 	 society 
 apparel ; wearing apparel ; dress ; clothes 	 mise 	 clothes 
 apple 	 pomme 	 food 
 approximately ; about ; close to ; just about ; some ; roughly ; more or less ; around ; or so 	 environ 	 adverb 
 area ; expanse ; surface area 	 aire 	 mathematics 
 argent ; silver ; silvery ; silverish 	 argenté 	 adjective 
 argue ; contend ; debate ; fence 	 se disputer 	 verb 
 argue ; reason 	 plaider 	 verb 
 argument ; statement 	 argument 	 communication 
 arm 	 bras 	 anatomy 
 army ; regular army ; ground forces 	 armée 	 society 
 arrangement ; organization ; organisation ; system 	 organisation 	 society 
 arrive ; make it ; get in ; go far 	 arriver 	 verb 
 art ; fine art 	 art 	 art 
 artist ; creative person 	 artiste 	 profession 
 ask ; inquire ; enquire 	 demander 	 verb 
 aspect 	 aspect 	 abstract 
 assail ; assault ; set on ; attack 	 attaquer 	 verb 
 astute ; sharp ; shrewd 	 astucieux 	 adjective 
 at 	 contre 	 preposition 
 attack ; onslaught ; onset ; onrush 	 attaque 	 abstract 
 attempt ; effort ; endeavor ; endeavour ; try 	 essai 	 abstract 
 attention ; attending 	 attention 	 communication 
 attitude ; mental attitude 	 attitude 	 abstract 
 audio ; sound 	 audio 	 abstract 
 aureate ; gilded ; gilt ; gold ; golden 	 d'or 	 color 
 authority ; authorization ; authorisation ; potency ; dominance ; say-so 	 autorité 	 society 
 automatic 	 automatique 	 adjective 
 available 	 disponible 	 adjective 
 avoid 	 éviter 	 verb 
 awake 	 éveillé 	 adjective 
 award ; accolade ; honor ; honour ; laurels 	 certificat 	 society 
 baby ; babe ; infant 	 bébé 	 family 
 back 	 arrière 	 clothes 
 back ; dorsum 	 dos 	 anatomy 
 bad 	 mauvais 	 adjective 
 bag 	 poche 	 object 
 bag ; handbag ; pocketbook ; purse 	 sac 	 clothes 
 bag ; traveling bag ; travelling bag ; grip ; suitcase 	 valise 	 clothes 
 balance 	 équilibre 	 physics 
 ball 	 ballon 	 object 
 bang-up ; bully ; corking ; cracking ; dandy ; great ; groovy ; keen ; neat ; nifty ; not bad ; peachy ; slap-up ; swell ; smashing 	 formidable 	 adjective 
 bank 	 rive 	 nature 
