# Russian-French translations created from the Universal dictionary at 2011-08-27T09:42:49-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 возможность 	 occasion 	 abstract 
 возможный 	 possible 	 adjective 
 возражать ; протестовать 	 protester 	 verb 
 возраст 	 âge 	 time 
 возраст 	 âge 	 time 
 война 	 guerre 	 society 
 волна 	 vague 	 nature 
 волна ; шерсть 	 laine 	 material 
 волос ; ворс 	 cheveux 	 anatomy 
 волосы 	 cheveux 	 anatomy 
 воля 	 volonté 	 abstract 
 воля 	 volonté 	 society 
 вонять 	 sentir 	 verb 
 вопрос 	 question 	 linguistics 
 ворота ; калитка 	 barrière 	 house 
 воротник ; туфля 	 col 	 clothes 
 восемнадцать 	 dix-huit 	 number 
 восемь 	 huit 	 number 
 восемьдесят 	 quatre-vingts 	 number 
 воскресенье 	 dimanche 	 time 
 воспитание 	 éducation 	 society 
 воспитать 	 élever 	 verb 
 воспоминание 	 mémoire 	 communication 
 восточный 	 est 	 adjective 
 восьмой 	 huitieme 	 number 
 вперед 	 avant 	 adverb 
 впереди 	 devant 	 adverb 
 вперёд 	 avant 	 adverb 
 врач ; доктор 	 docteur 	 profession 
 времена года 	 saison 	 nature 
 время 	 temps 	 physics 
 время после полудня 	 après-midi 	 time 
 вручить 	 remettre 	 verb 
 все 	 tout 	 pronoun 
 все ; бсё 	 tout 	 adjective 
 всегда 	 toujours 	 adverb 
 всеобщий ; общий 	 général 	 adjective 
 всерьёз 	 en réalité 	 adverb 
 встреча 	 rencontre 	 communication 
 встреча ; свидание 	 rendez-vous 	 relations 
 встречать(ся) 	 rencontrer 	 verb 
 вступить 	 entrer 	 verb 
 вторая степень 	 carré 	 mathematics 
 второй 	 deuxième 	 adjective 
 выбор 	 triage 	 abstract 
 выборы 	 élection 	 mathematics 
 выбрать 	 choisir 	 verb 
 выиграть ; победить 	 gagner 	 verb 
 вымыть 	 laver 	 verb 
 выработать 	 traiter 	 verb 
 выравнить 	 égaliser 	 verb 
 выразить 	 formuler 	 verb 
 высокий 	 grand 	 adjective 
 высота 	 hauteur 	 abstract 
 высоцхнуть 	 essuyer 	 verb 
 высушить 	 sécher 	 verb 
 высчитать 	 compter 	 verb 
 выход 	 est 	 logistics 
 выходных 	 weekend 	 time 
 газета 	 journal 	 object 
 гайка 	 écrou 	 object 
 галстук 	 cravate 	 clothes 
 гараж 	 dépôt 	 transport 
 гвоздь 	 clou 	 object 
 ген 	 gène 	 anatomy 
 генерал 	 général 	 profession 
 гитара 	 guitare 	 object 
 главный 	 majeur 	 adjective 
 главный 	 majeur 	 adjective 
 гладкий 	 lissé 	 adjective 
 глаз 	 oeil 	 anatomy 
 глотка ; зев ; горло 	 gorge 	 anatomy 
 глупый 	 sot 	 adjective 
 глупый 	 stupide 	 adjective 
 глянцевать 	 cirer 	 verb 
 говорить 	 dire 	 verb 
 говорить 	 parler 	 verb 
 год 	 année 	 time 
 гол 	 but 	 sports 
 голова 	 tête 	 anatomy 
 голодный 	 affamé 	 adjective 
 голос 	 voix 	 communication 
 голубой 	 bleu 	 color 
 гольф 	 golf 	 travelling 
 гора 	 montagne 	 nature 
 город 	 ville 	 society 
 горький 	 amer 	 adjective 
 горячий 	 chaud 	 adjective 
 господство 	 domination 	 society 
 гостиница ; отель 	 hôtel 	 city 
 гость 	 hôte 	 travelling 
 готовить 	 cuisiner 	 verb 
 готовый ; приготовленный 	 prêt 	 adjective 
 граница ; лимит 	 limite 	 mathematics 
 громкий 	 fort 	 adjective 
 грубый 	 approximatif 	 adjective 
 грубый 	 grossier 	 adjective 
 грудная клетка ; грудь 	 poitrine 	 anatomy 
 грудь 	 poitrine 	 anatomy 
 группа 	 groupe 	 abstract 
 грустный 	 triste 	 adjective 
 грязный 	 sale 	 adjective 
 грязный 	 sale 	 adjective 
 губа 	 lèvre 	 anatomy 
 гуманный 	 humain 	 adjective 
 густой 	 dense 	 adjective 
 да 	 oui 	 abstract 
 давать 	 donner 	 verb 
 давать отпор ; противостоять 	 affronter 	 verb 
 давление 	 pression 	 nature 
 даже 	 voire 	 adverb 
 дальше 	 plus 	 adjective 
 далёкий 	 loin 	 adjective 
 данный ; установленный 	 déterminé 	 adjective 
 дата ; число 	 date 	 time 
 двадцать 	 vingt 	 number 
 двенадцатый 	 douzième 	 number 
