# French-Esperanto translations created from the Universal dictionary at 2011-05-28T05:46:29-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 aérodrome 	 aerodromo 	 city 
 bain 	 bano 	 house 
 baiser 	 kisi 	 verb 
 baiser 	 kiso 	 relations 
 ballon 	 pilko 	 object 
 banque 	 banko 	 city 
 barbare 	 barbara 	 adjective 
 barrière 	 pordego 	 house 
 bas 	 malalta 	 adjective 
 bas 	 malsupren 	 adverb 
 bas 	 suben 	 adjective 
 base 	 bazo 	 mathematics 
 base 	 bazo 	 society 
 base-ball 	 basbalo 	 sports 
 bateau 	 boato 	 object 
 beau 	 bela 	 adjective 
 beaucoup 	 multaj 	 adjective 
 beaucoup 	 multe 	 adjective 
 bec 	 beko 	 anatomy 
 besoin 	 bezono 	 abstract 
 beurre 	 butero 	 food 
 bibliothèque 	 biblioteko 	 city 
 bicyclette 	 biciklo 	 object 
 bien 	 bone 	 adverb 
 bientôt 	 baldaux 	 adverb 
 bijou 	 juvelo 	 object 
 billet 	 bileto 	 object 
 billet 	 monbileto 	 business 
 biologie 	 biologio 	 science 
 bizarre 	 stranga 	 adjective 
 bière 	 biero 	 food 
 blanc 	 blanka 	 adjective 
 blesser 	 damagxi 	 verb 
 blesser 	 vundi 	 verb 
 bleu 	 blua 	 color 
 boire 	 trinki 	 verb 
 bois 	 ligno 	 material 
 boisson 	 trinkajxo 	 food 
 bon 	 bona 	 adjective 
 bon 	 bona 	 adjective 
 bord 	 eĝo 	 mathematics 
 botte 	 boto 	 clothes 
 bouche 	 buŝo 	 anatomy 
 bouger 	 movi 	 verb 
 bouteille 	 botelo 	 food 
 boutique 	 vendejo 	 business 
 bouton 	 butono 	 object 
 boîte 	 ladskatolo 	 object 
 branche 	 brancxo 	 nature 
 bras 	 brako 	 anatomy 
 brique 	 briko 	 house 
 brosse 	 broso 	 object 
 bruit 	 bruo 	 society 
 brusque 	 bruska 	 adjective 
 bureau 	 oficejo 	 business 
 bureau 	 skribotablo 	 house 
 but 	 golo 	 sports 
 bâtir 	 konstrui 	 verb 
 bâton 	 bastono 	 object 
 bébé 	 infaneto 	 family 
 cadre 	 framo 	 object 
 café 	 kafo 	 food 
 cageot 	 kesteto 	 object 
 caillou 	 ŝtono 	 nature 
 calculateur 	 kalkulilo 	 device 
 calme 	 senbrua 	 adjective 
 caméra 	 fotoaparato 	 object 
 capable 	 kapabla 	 adjective 
 capacité 	 povo 	 abstract 
 capital 	 kapitalo 	 business 
 capitale 	 ĉefurbo 	 society 
 car 	 cxar 	 conjunction 
 car 	 ĉar 	 conjunction 
 caractère 	 karaktero 	 abstract 
 caractère 	 karaktro 	 linguistics 
 caractère 	 personeco 	 abstract 
 caractéristique 	 atributo 	 abstract 
 carré 	 kvadrata 	 adjective 
 carré 	 kvadrato 	 mathematics 
 carré 	 kvadrato 	 mathematics 
 carte 	 karto 	 object 
 carte 	 mapo 	 object 
 cassé 	 rompita 	 adjective 
 cause 	 kauxzo 	 abstract 
 ce 	 tiu 	 pronoun 
 cellule 	 cxelo 	 society 
 cellule 	 ĉelo 	 anatomy 
 cent 	 cent 	 number 
 central 	 centra 	 adjective 
 central 	 kardinala 	 adjective 
 central 	 telefoncentralo 	 society 
 centre 	 centro 	 mathematics 
 cependant 	 malgrauxe 	 adverb 
 cercle 	 rondo 	 mathematics 
 certain 	 certa 	 adjective 
 cerveau 	 cerbo 	 anatomy 
 cette 	 tiu cxi 	 pronoun 
 chacun 	 cxiu 	 adjective 
 chacun 	 cxiu 	 adjective 
 chaise 	 seĝo 	 house 
 chaleur 	 varmego 	 medicine 
 chaleureux 	 varma 	 adjective 
 chambre à coucher 	 dormcxambro 	 house 
 championnat 	 titolo 	 sports 
 chanceux 	 bonŝanca 	 adjective 
 changement 	 ŝanĝo 	 abstract 
 changer 	 ŝanĝi 	 verb 
 chanson 	 kanzono 	 art 
 chanteur 	 kantisto 	 profession 
 chapeau 	 ĉapelo 	 clothes 
 charbon 	 karbo 	 material 
 charge 	 sxargajxo 	 nature 
 charger 	 sxargxi 	 verb 
 chat 	 kato 	 animal 
 chaud 	 varma 	 adjective 
 chauffer 	 varmigi 	 verb 
 chaussette 	 ŝtrumpeto 	 clothes 
 chaussure 	 ŝuo 	 clothes 
 chaîne 	 ĉeno 	 object 
 chef 	 cxefo 	 society 
 chef 	 estro 	 society 
 chemin 	 vojo 	 transport 
 chemise 	 ĉemizo 	 clothes 
 cheval 	 cxevalo 	 animal 
 cheveux 	 haro 	 anatomy 
 cheveux 	 haroj 	 anatomy 
 chien 	 hundo 	 animal 
 chimie 	 kemio 	 science 
 chimique 	 kemia 	 adjective 
 chimique 	 kemiaĵo 	 material 
 choc 	 ŝoko 	 abstract 
 chocolat 	 ĉokolado 	 food 
 choisir 	 elekti 	 verb 
 chose 	 ajxo 	 object 
 chute 	 falo 	 abstract 
 château 	 kastelo 	 city 
 châtiment 	 puno 	 society 
 chèque 	 cxeko 	 business 
 chèvre 	 kapro 	 animal 
 chômeur 	 senlabora 	 adjective 
 ciel 	 cxielo 	 nature 
 cinq 	 kvin 	 number 
 cinquante 	 kvindek 	 number 
 cinquième 	 kvina 	 number 
 cinéma 	 kino 	 city 
 cirer 	 poluri 	 verb 
 ciseaux 	 tondilo 	 object 
 citer 	 mencii 	 verb 
 clair 	 hela 	 adjective 
 clair 	 hela 	 adjective 
 classe 	 klaso 	 art 
 classer 	 klasi 	 verb 
 clayette 	 bretaro 	 house 
 clientèle 	 praktiko 	 art 
 cloche 	 sonorilo 	 object 
 clore 	 fermi 	 verb 
 clou 	 najlo 	 object 
 club 	 gildo 	 society 
 clé 	 ŝlosilo 	 house 
 coeur 	 koro 	 anatomy 
 coffre 	 kesto 	 object 
 col 	 kolumo 	 clothes 
 collant 	 glueca 	 adjective 
 colle 	 gluo 	 material 
 collection 	 kompleto 	 sports 
 coller 	 glui 	 verb 
 colline 	 monteto 	 nature 
 comme 	 kiel 	 adverb 
 commercer 	 negoci 	 verb 
 commettant 	 kliento 	 business 
 commun 	 komuna 	 adjective 
 communauté 	 komunumo 	 society 
 communiqué 	 proklamo 	 communication 
 compagnie 	 grupo 	 society 
 comparer 	 kompari 	 verb 
 complet 	 kompleta 	 adjective 
 complet 	 totala 	 adjective 
 composant additionnel 	 aldono 	 abstract 
 comprendre 	 inkluzivi 	 verb 
 comprendre 	 kompreni 	 verb 
 compte 	 kalkulo 	 business 
 compter 	 kalkuli 	 verb 
 comédien 	 aktoro 	 profession 
 concert 	 koncerto 	 art 
 concevoir 	 plani 	 verb 
 concurrence 	 konkurado 	 society 
 concurrence 	 konkurenco 	 business 
 concurrent 	 konkuranto 	 business 
 condition 	 kondiĉo 	 abstract 
 conduire 	 konduki 	 verb 
 conduire 	 stiri 	 verb 
 conduite 	 konduto 	 abstract 
 confrontation 	 komparo 	 abstract 
 congé 	 forpermeso 	 society 
 connaissance 	 kognicio 	 education 
 conscient 	 konscia 	 adjective 
 conseil 	 komisiono 	 society 
 conseil 	 koncilio 	 society 
 conseil 	 konsilo 	 communication 
 considérer 	 konsideri 	 verb 
 construction 	 konstruado 	 house 
 conséquence 	 konsekvenco 	 medicine 
 contenir 	 limigi 	 verb 
 continuer 	 dauxrigi 	 verb 
 contraire 	 malo 	 abstract 
 contrat 	 kontrakto 	 business 
 contre 	 al 	 preposition 
 contre 	 kontraux 	 preposition 
 contribution 	 impostigo 	 business 
 contrôler 	 komandi 	 verb 
 copain 	 amiko 	 family 
 copeau 	 peco 	 object 
 copie 	 kopio 	 object 
 copier 	 kopii 	 verb 
 copine 	 koramikino 	 family 
 corde 	 ŝnuro 	 transport 
 correct 	 gxusta 	 adjective 
 costume 	 vestoj 	 clothes 
 coton 	 kotono 	 material 
 cou 	 kolo 	 anatomy 
 coudre 	 kudri 	 verb 
 couleur 	 koloroj 	 art 
 coup 	 bato 	 abstract 
 coup 	 frapo 	 abstract 
 coup de pied 	 kiki 	 verb 
 coup de pied 	 piedbato 	 abstract 
 coupe 	 pokalo 	 object 
 coupe 	 taso 	 food 
 couper 	 trancxi 	 verb 
 couple 	 paro 	 number 
 courant 	 fluo 	 nature 
 courant 	 fluo 	 nature 
 courant 	 fluo 	 nature 
 courbure 	 kurbo 	 mathematics 
 courir 	 kuri 	 verb 
 cours 	 kurso 	 education 
 court 	 kurta 	 adjective 
 couteau 	 tranĉilo 	 food 
 couvercle 	 kovrilo 	 object 
 craindre 	 timi 	 verb 
 cravate 	 kravato 	 clothes 
 crayon 	 krajono 	 object 
 crevé 	 morta 	 adjective 
 cri 	 voko 	 communication 
 critère 	 kriterio 	 communication 
 croire 	 kredi 	 verb 
 croître 	 kreski 	 verb 
 cuiller 	 kulero 	 food 
 cuir 	 ledo 	 material 
 cuisine 	 kuirejo 	 house 
 cuisiner 	 kuiradi 	 verb 
 cuisiner 	 kuiri 	 verb 
 cuisinier 	 kuiristo 	 profession 
 culture 	 kulturo 	 society 
 côté 	 latero 	 mathematics 
 danger 	 danĝero 	 abstract 
 dangereux 	 danĝera 	 adjective 
 dans 	 en 	 adverb 
 dans 	 en 	 preposition 
 danser 	 danci 	 verb 
 date 	 dato 	 time 
 de 	 de 	 preposition 
 de qui 	 kies 	 pronoun 
 degré 	 grado 	 linguistics 
 dehors 	 ekster 	 adverb 
 demain 	 morgaŭ 	 adverb 
 demande 	 peto 	 communication 
 demander 	 peti 	 verb 
 dense 	 viskoza 	 adjective 
 dent 	 dento 	 anatomy 
 depuis 	 ekde 	 preposition 
 dernier 	 lasta 	 adjective 
 derrière 	 malantaux 	 adverb 
 dessiner 	 desegni 	 verb 
 dessus 	 super 	 adverb 
 destination 	 celo 	 abstract 
 destruction 	 detruo 	 abstract 
 deuxième 	 dua 	 adjective 
 devant 	 antaux 	 adverb 
 devenir 	 iĝi 	 verb 
 devoir 	 devo 	 abstract 
 dictionnaire 	 vortaro 	 linguistics 
 difficulté 	 malfacileco 	 abstract 
 différence 	 diferenco 	 abstract 
 différent 	 diferenca 	 adjective 
 dimanche 	 dimancxo 	 time 
 dire 	 diri 	 verb 
 directement 	 rekte 	 adverb 
 directeur 	 direktoro 	 profession 
 direction 	 direkto 	 mathematics 
 direction 	 kondukado 	 society 
 discipline 	 disciplino 	 linguistics 
 discussion 	 disputo 	 mathematics 
 discuter 	 diskuti 	 verb 
 disponible 	 havebla 	 adjective 
 distance 	 distanco 	 mathematics 
 divers 	 diversa 	 adjective 
 diversité 	 diverseco 	 art 
 divertissement 	 distraĵo 	 art 
 diviser 	 fendi 	 verb 
 dix 	 dek 	 number 
 docteur 	 doktoro 	 profession 
 doigt 	 fingro 	 anatomy 
 donc 	 do 	 adverb 
 donner 	 doni 	 verb 
 données 	 datumoj 	 communication 
 dos 	 dorso 	 anatomy 
 douceur 	 dolĉeco 	 food 
 douche 	 duŝo 	 house 
 douleur 	 doloro 	 medicine 
 doute 	 dubo 	 communication 
 douter 	 dubi 	 verb 
 doux 	 mola 	 adjective 
 douzième 	 dekdua 	 number 
 drapeau 	 flago 	 object 
 droit 	 dekstra 	 adjective 
 droit 	 juro 	 society 
 droit 	 rekta 	 adjective 
 dur 	 malfacila 	 adjective 
 d'abord 	 unue 	 adverb 
 d'or 	 ora 	 color 
 début 	 komenco 	 abstract 
 débuter 	 komenciĝi 	 verb 
 décembre 	 decembro 	 time 
 déchets 	 rubo 	 material 
 décider 	 decidi 	 verb 
 décision 	 decido 	 communication 
 déclaration 	 aserto 	 communication 
 décrire 	 priskribi 	 verb 
 défense 	 defendo 	 abstract 
 définitif 	 fina 	 adjective 
 dégager 	 liberigi 	 verb 
 déjeuner 	 matenmangxo 	 food 
 déjeuner 	 tagmanĝo 	 food 
 déjà 	 jam 	 adverb 
 délicat 	 delikata 	 adjective 
 délit 	 krimo 	 society 
 département 	 sekcio 	 society 
 dépasser 	 superi 	 verb 
 dépôt 	 garaĝo 	 transport 
 dérapage 	 glito 	 abstract 
 désirer 	 deziri 	 verb 
 détail 	 detalo 	 logistics 
 déterminé 	 fiksita 	 adjective 
 développer 	 evolucii 	 verb 
 eau 	 akvo 	 material 
 elle 	 ŝi 	 pronoun 
 embaumer 	 odori 	 verb 
 emplir 	 plenigi 	 verb 
 employé 	 laboristo 	 profession 
 empoisonner 	 veneni 	 verb 
 empêcher 	 preventi 	 verb 
 en réalité 	 vere 	 adverb 
 encore 	 ankoraux 	 adverb 
 encore 	 ree 	 adverb 
 encre 	 inko 	 material 
 endommager 	 difekti 	 verb 
 endurer 	 suferi 	 verb 
 enfant 	 infano 	 family 
 ennuyeux 	 teda 	 adjective 
 enregistrer 	 registri 	 verb 
 enrouler 	 bobeni 	 verb 
 enseignement 	 instruado 	 education 
 enseigner 	 instrui 	 verb 
 ensemble 	 kune 	 adverb 
 ensuite 	 poste 	 adverb 
 entendre 	 auxdi 	 verb 
 entendre 	 intenci 	 verb 
 entier 	 tuta 	 adjective 
 entraînement 	 trejnado 	 abstract 
 entre 	 inter 	 preposition 
 entrer 	 eniri 	 verb 
 entrée 	 antauxcxambro 	 house 
 enveloppe 	 koverto 	 object 
 envelopper 	 envolvi 	 verb 
 environ 	 proksimume 	 adverb 
 erreur 	 eraro 	 communication 
 escarpé 	 abrupta 	 adjective 
 espace 	 kosmo 	 mathematics 
 esprit 	 menso 	 mathematics 
 espèce 	 speco 	 abstract 
 espérer 	 esperi 	 verb 
 essai 	 peno 	 abstract 
 essayer 	 provi 	 verb 
 essayer 	 testi 	 verb 
 essence 	 esenco 	 abstract 
 essuyer 	 sekigi 	 verb 
 est 	 oriento 	 logistics 
 estimer 	 taksi 	 verb 
 estomac 	 stomako 	 anatomy 
 et 	 kaj 	 conjunction 
 exactement 	 gxuste 	 adverb 
 examen 	 ekzameno 	 communication 
 excellent 	 bonega 	 adjective 
 exemple 	 ekzemplo 	 communication 
 exercer 	 ekzerci 	 verb 
