# French-English translations created from the Universal dictionary at 2011-05-28T05:46:15-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 artiste 	 artist ; creative person 	 profession 
 ascenseur 	 elevator ; lift 	 device 
 ascension 	 rise ; rising ; ascent ; ascension 	 abstract 
 aspect 	 aspect 	 abstract 
 assez 	 enough ; plenty 	 adverb 
 assiette 	 plate 	 food 
 assoiffé 	 thirsty 	 adjective 
 assurance 	 insurance 	 business 
 assurer 	 salvage ; salve ; relieve ; save 	 verb 
 assurément 	 surely ; certainly ; sure ; for sure ; for certain ; sure enough ; sure as shooting 	 adverb 
 astucieux 	 astute ; sharp ; shrewd 	 adjective 
 attaque 	 attack ; onslaught ; onset ; onrush 	 abstract 
 attaquer 	 assail ; assault ; set on ; attack 	 verb 
 attendre 	 expect ; look ; await ; wait 	 verb 
 attendre 	 wait ; hold off ; hold back 	 verb 
 attention 	 attention ; attending 	 communication 
 attention 	 heed ; mind ; listen 	 verb 
 atterrir 	 land ; set down 	 verb 
 attitude 	 attitude ; mental attitude 	 abstract 
 attraper 	 flim-flam ; play a joke on ; play tricks ; trick ; fob ; fox ; pull a fast one on ; play a trick on 	 verb 
 attraper 	 get ; acquire 	 verb 
 au lieu de 	 alternatively ; instead ; or else 	 adverb 
 au-dessous 	 nether ; under 	 adjective 
 aucun 	 no 	 adjective 
 audio 	 audio ; sound 	 abstract 
 augmentation 	 increase ; increment 	 abstract 
 augmenter 	 increase 	 verb 
 aujourd'hui 	 today 	 adverb 
 ausculter 	 listen ; hear ; take heed 	 verb 
 aussi 	 besides ; too ; also ; likewise ; as well 	 adverb 
 austral 	 south 	 adjective 
 autocar 	 bus ; autobus ; coach ; charabanc ; double-decker ; jitney ; motorbus ; motorcoach ; omnibus ; passenger vehicle 	 transport 
 automatique 	 automatic 	 adjective 
 automne 	 fall ; autumn 	 nature 
 automobile 	 car ; auto ; automobile ; machine ; motorcar 	 transport 
 autorité 	 authority ; authorization ; authorisation ; potency ; dominance ; say-so 	 society 
 autorité 	 dominance ; ascendance ; ascendence ; ascendancy ; ascendency ; control 	 abstract 
 autour 	 about ; around 	 adverb 
 autre 	 another ; some other 	 adjective 
 autre 	 other 	 adjective 
 autrefois 	 once ; one time ; in one case 	 adverb 
 avant 	 earlier ; before 	 adverb 
 avant 	 forward ; forwards ; frontward ; frontwards ; forrad ; forrard 	 adverb 
 avant 	 front ; front end ; forepart 	 abstract 
 avantage 	 advantage ; vantage 	 abstract 
 avec 	 with 	 preposition 
 avion 	 airplane ; aeroplane ; plane 	 object 
 avis 	 opinion ; sentiment ; persuasion ; view ; thought 	 communication 
 avoir 	 have ; have got ; hold 	 verb 
 avoir 	 own ; have ; possess 	 verb 
 avoir besoin 	 necessitate ; ask ; postulate ; need ; require ; take ; involve ; call for ; demand 	 verb 
 avril 	 April ; Apr 	 time 
 aérodrome 	 airport ; airdrome ; aerodrome ; drome 	 city 
 bain 	 bath 	 house 
 baiser 	 kiss ; buss ; osculation 	 relations 
 baiser 	 snog ; kiss ; buss ; osculate 	 verb 
 ballon 	 ball 	 object 
 banque 	 depository financial institution ; bank ; banking concern ; banking company 	 city 
 barbare 	 barbarous ; brutal ; cruel ; fell ; roughshod ; savage ; vicious 	 adjective 
 barrière 	 gate 	 house 
 bas 	 down 	 adjective 
 bas 	 down ; downwards ; downward ; downwardly 	 adverb 
 bas 	 low 	 adjective 
 base 	 base ; base of operations 	 society 
 base 	 footing ; basis ; ground 	 mathematics 
 base-ball 	 baseball ; baseball game 	 sports 
 bateau 	 boat 	 object 
 beau 	 beautiful 	 adjective 
 beaucoup 	 many 	 adjective 
 beaucoup 	 much 	 adjective 
 bec 	 beak ; bill ; neb ; nib ; pecker 	 anatomy 
 besoin 	 need ; demand 	 abstract 
 beurre 	 butter 	 food 
 bibliothèque 	 library 	 city 
 bicyclette 	 bicycle ; bike ; wheel ; cycle 	 object 
 bien 	 good ; goodness 	 abstract 
 bien 	 well ; good 	 adverb 
 bientôt 	 soon ; shortly ; presently ; before long 	 adverb 
 bijou 	 jewel ; gem ; precious stone 	 object 
 billet 	 bill ; note ; government note ; bank bill ; banker's bill ; bank note ; banknote ; Federal Reserve note ; greenback 	 business 
 billet 	 ticket 	 object 
 biologie 	 biology ; biological science 	 science 
 bizarre 	 strange ; unusual 	 adjective 
 bière 	 beer 	 food 
 blanc 	 white 	 adjective 
 blesser 	 hurt ; injure 	 verb 
 blesser 	 injure ; wound 	 verb 
 bleu 	 blue ; bluish ; blueish 	 color 
 boire 	 drink ; imbibe 	 verb 
 bois 	 wood 	 material 
 boisson 	 beverage ; drink ; drinkable ; potable 	 food 
 bon 	 good 	 adjective 
 bon 	 good ; well 	 adjective 
 bord 	 edge ; border 	 mathematics 
 botte 	 boot 	 clothes 
 bouche 	 mouth ; oral cavity ; oral fissure ; rima oris 	 anatomy 
 bouger 	 move ; displace 	 verb 
 bouteille 	 bottle 	 food 
 boutique 	 shop ; store 	 business 
 bouton 	 push button ; push ; button 	 object 
 boîte 	 can ; tin ; tin can 	 object 
 branche 	 branch 	 nature 
 bras 	 arm 	 anatomy 
 brique 	 brick 	 house 
 brosse 	 brush 	 object 
 bruit 	 noise ; dissonance ; racket 	 society 
 brusque 	 brusque ; brusk ; curt ; short 	 adjective 
 bureau 	 desk 	 house 
 bureau 	 office ; business office 	 business 
 but 	 goal 	 sports 
 bâtir 	 construct ; build ; make 	 verb 
 bâton 	 stick 	 object 
 bébé 	 baby ; babe ; infant 	 family 
 cadre 	 frame 	 object 
 café 	 coffee ; java 	 food 
 cageot 	 box 	 object 
 caillou 	 rock ; stone 	 nature 
 calculateur 	 calculator ; reckoner ; figurer ; estimator ; computer 	 device 
 calme 	 silent ; soundless ; still 	 adjective 
 campagne 	 campaign ; cause ; crusade ; drive ; movement ; effort 	 abstract 
 caméra 	 camera ; photographic camera 	 object 
 caméra 	 television camera ; tv camera ; camera 	 object 
 capable 	 able 	 adjective 
 capacité 	 ability ; power 	 abstract 
 capital 	 capital ; working capital 	 business 
 capitale 	 capital 	 society 
 car 	 because 	 conjunction 
 car 	 for 	 conjunction 
 caractère 	 character ; grapheme ; graphic symbol 	 linguistics 
 caractère 	 personality 	 abstract 
 caractère 	 quality ; character ; lineament 	 abstract 
 caractéristique 	 feature ; characteristic 	 abstract 
 carré 	 square 	 adjective 
 carré 	 square ; foursquare 	 mathematics 
 carré 	 square ; second power 	 mathematics 
 carte 	 card 	 object 
 carte 	 map 	 object 
 cassé 	 broken 	 adjective 
 cause 	 cause 	 abstract 
 ce 	 that 	 pronoun 
 ce soir 	 tonight ; this evening ; this night 	 adverb 
 cellule 	 cell 	 anatomy 
 cellule 	 cell ; jail cell ; prison cell 	 society 
 cent 	 hundred ; one hundred ; 100 ; c 	 number 
 central 	 cardinal ; central ; fundamental ; key ; primal 	 adjective 
 central 	 central 	 adjective 
 central 	 central ; telephone exchange ; exchange 	 society 
 centre 	 center ; centre ; midpoint 	 mathematics 
 cependant 	 however ; nevertheless ; withal ; still ; yet ; all the same ; even so ; nonetheless ; notwithstanding 	 adverb 
 cercle 	 circle 	 mathematics 
 certain 	 certain ; sure 	 adjective 
 certificat 	 award ; accolade ; honor ; honour ; laurels 	 society 
 cerveau 	 brain ; encephalon 	 anatomy 
 ces 	 these 	 pronoun 
 ces 	 those 	 pronoun 
 cette 	 this 	 pronoun 
 chacun 	 each 	 adjective 
 chacun 	 every 	 adjective 
 chaise 	 chair 	 house 
