# French-German translations created from the Universal dictionary at 2011-08-27T09:41:58-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 attention 	 beachten 	 verb 
 atterrir 	 landen 	 verb 
 attitude 	 Standpunkt ; Stellung 	 abstract 
 attraper 	 bekommen 	 verb 
 attraper 	 betrügen ; hereinlegen 	 verb 
 au-dessous 	 unter 	 adjective 
 aucun 	 kein 	 adjective 
 audio 	 Ton 	 abstract 
 augmentation 	 Zunahme ; Zuwachs 	 abstract 
 augmenter 	 steigen ; wachsen ; zunehmen 	 verb 
 aujourd'hui 	 heute 	 adverb 
 ausculter 	 zuhören ; hören ; anhören 	 verb 
 aussi 	 auch 	 adverb 
 austral 	 südlich 	 adjective 
 autocar 	 Autobus ; Bus ; Omnibus 	 transport 
 automatique 	 automatisch 	 adjective 
 automne 	 Herbst 	 nature 
 automobile 	 Auto ; Kraftwagen ; Personenwagen ; Kraftfahrzeug ; Personenkraftwagen ; Pkw ; Automobil 	 transport 
 autorité 	 Autorität ; Berechtigung ; Bevollmächtigung ; Ermächtigung 	 society 
 autorité 	 Vorherrschaft ; Oberherrschaft ; Dominanz 	 abstract 
 autour 	 rund um 	 adverb 
 autre 	 ander ; sonstig ; andere ; anders 	 adjective 
 autre 	 andere ; anders 	 adjective 
 autrefois 	 einmal 	 adverb 
 avant 	 Front ; Vorderseite ; Vorderteil 	 abstract 
 avant 	 ehe ; vor 	 adverb 
 avant 	 voraus ; vordere 	 adverb 
 avantage 	 Vorteil 	 abstract 
 avec 	 mit 	 preposition 
 avion 	 Flugzeug 	 object 
 avis 	 Meinung ; Ansicht ; Stellungnahme 	 communication 
 avoir 	 besitzen ; eignen 	 verb 
 avoir 	 haben 	 verb 
 avoir besoin 	 benötigen ; brauchen ; fordern ; verlangen ; bedürfen 	 verb 
 avril 	 April 	 time 
 aérodrome 	 Flughafen ; Flugplatz 	 city 
 bain 	 Bad 	 house 
 baiser 	 Kuß 	 relations 
 baiser 	 küssen 	 verb 
 ballon 	 Ball 	 object 
 banque 	 Bank 	 city 
 barbare 	 barbarisch 	 adjective 
 barrière 	 Tor ; Pforte 	 house 
 bas 	 abwärts 	 adverb 
 bas 	 niedrig 	 adjective 
 bas 	 unten 	 adjective 
 base 	 Basis ; Stützpunkt 	 society 
 base 	 Fundament 	 mathematics 
 base-ball 	 Baseball 	 sports 
 bateau 	 Boot 	 object 
 beau 	 schön 	 adjective 
 beaucoup 	 viel 	 adjective 
 beaucoup 	 viele 	 adjective 
 bec 	 Schnabel 	 anatomy 
 besoin 	 Bedarf ; Bedürfnis 	 abstract 
 beurre 	 Butter 	 food 
 bibliothèque 	 Bücherei 	 city 
 bicyclette 	 Fahrrad 	 object 
 bien 	 Gute 	 abstract 
 bien 	 gut 	 adverb 
 bientôt 	 bald 	 adverb 
 bijou 	 Edelstein ; Juwel ; Kleinod 	 object 
 billet 	 Banknote 	 business 
 billet 	 Fahrkarte ; Fahrschein ; Karte 	 object 
 biologie 	 Biologie 	 science 
 bizarre 	 merkwürdig 	 adjective 
 bière 	 Bier 	 food 
 blanc 	 weiß 	 adjective 
 blesser 	 verletzen 	 verb 
 blesser 	 verletzen ; verwunden 	 verb 
 bleu 	 blau 	 color 
 boire 	 trinken 	 verb 
 bois 	 Holz 	 material 
 boisson 	 Getränk ; Trank 	 food 
 bon 	 gut ; lieb 	 adjective 
 bord 	 Kante ; Rand 	 mathematics 
 botte 	 Stiefel 	 clothes 
 bouche 	 Mund 	 anatomy 
 bouger 	 bewegen 	 verb 
 bouteille 	 Flasche 	 food 
 boutique 	 Geschäft 	 business 
 bouton 	 Knopf ; Taste 	 object 
 boîte 	 dose 	 object 
 branche 	 Ast 	 nature 
 bras 	 Arm 	 anatomy 
 brique 	 Backstein ; Ziegel ; Ziegelstein 	 house 
 brosse 	 Bürste 	 object 
 bruit 	 Geräusch ; Lärm ; Geräusche 	 society 
 brusque 	 brüsk ; schroff 	 adjective 
 bureau 	 Büro 	 business 
 bureau 	 Schreibtisch 	 house 
 but 	 Tor 	 sports 
 bâtir 	 bauen 	 verb 
 bâton 	 Stock 	 object 
 bébé 	 Baby 	 family 
 cadre 	 Rahmen 	 object 
 café 	 Kaffe ; Kaffee 	 food 
 cageot 	 Kiste 	 object 
 caillou 	 Gestein ; Stein 	 nature 
 calculateur 	 Rechner 	 device 
 calme 	 geräuschlos ; still 	 adjective 
 campagne 	 Kampagne 	 abstract 
 caméra 	 Fotoapparat 	 object 
 caméra 	 Kamera 	 object 
 capable 	 fähig 	 adjective 
 capacité 	 Fähigkeit 	 abstract 
 capital 	 Kapital 	 business 
 capitale 	 Hauptstadt 	 society 
 car 	 weil 	 conjunction 
 car 	 weil 	 conjunction 
 caractère 	 Charakter 	 abstract 
 caractère 	 Charakter 	 abstract 
 caractère 	 Schriftzeichen ; Zeichen 	 linguistics 
 caractéristique 	 Charakteristik ; Eigenschaft ; Merkmal 	 abstract 
 carré 	 Quadrat 	 mathematics 
 carré 	 Quadrat 	 mathematics 
 carré 	 quadratisch ; viereckig 	 adjective 
 carte 	 Karte 	 object 
 carte 	 Karte 	 object 
 cassé 	 kaputt 	 adjective 
 cause 	 Grund ; Ursache 	 abstract 
 ce 	 jene 	 pronoun 
 ce soir 	 heute abend 	 adverb 
 cellule 	 Zelle 	 anatomy 
 cellule 	 Zelle 	 society 
 central 	 Zentrale 	 society 
 central 	 grundlegend 	 adjective 
 central 	 zentral 	 adjective 
 centre 	 Mitte ; Mittelpunkt 	 mathematics 
 cependant 	 dennoch ; aber ; nichtsdestotrotz ; nichtsdestoweniger ; gleichwohl ; trotzdem 	 adverb 
 cercle 	 Kreis 	 mathematics 
 certain 	 gewiss ; sicher 	 adjective 
 certificat 	 Auszeichnung 	 society 
 cerveau 	 Gehirn 	 anatomy 
 ces 	 diese 	 pronoun 
 ces 	 diese 	 pronoun 
 cette 	 diese 	 pronoun 
 chacun 	 alle ; jede ; jeder 	 adjective 
 chacun 	 jede ; jeder ; jedes 	 adjective 
 chaise 	 Stuhl 	 house 
 chaleur 	 Hitze 	 medicine 
 chaleureux 	 warm 	 adjective 
 chambre à coucher 	 Schlafzimmer 	 house 
 championnat 	 Meisterschaft ; Titel 	 sports 
 chanceux 	 glücklich 	 adjective 
 changement 	 Abwechslung ; Abänderung ; Veränderung ; Wandel ; Wechsel 	 abstract 
 changer 	 abändern ; verändern ; ändern 	 verb 
 chanson 	 Song 	 art 
 chanter 	 singen 	 verb 
 chanteur 	 Sänger 	 profession 
 chapeau 	 Hut 	 clothes 
 charbon 	 Kohle 	 material 
 charge 	 Ladung 	 nature 
 charger 	 laden ; aufladen 	 verb 
 chat 	 Katze 	 animal 
 chaud 	 warm 	 adjective 
 chauffer 	 erwärmen ; anwärmen ; aufwärmen 	 verb 
 chaussette 	 Socke 	 clothes 
 chaussure 	 Schuh 	 clothes 
 chaîne 	 Kette 	 object 
 chef 	 Chef 	 society 
 chef 	 Führer 	 society 
 chemin 	 Straße ; Strecke ; Weg 	 transport 
 chemise 	 Hemd 	 clothes 
 cheval 	 Pferd ; Ross 	 animal 
 cheveux 	 Haar 	 anatomy 
 cheveux 	 Haare 	 anatomy 
 chien 	 Hund 	 animal 
 chimie 	 Chemie 	 science 
 chimique 	 Chemikalie 	 material 
 chimique 	 chemisch 	 adjective 
 chinois 	 Chinesisch 	 language 
 choc 	 Schock 	 abstract 
 chocolat 	 Schokolade 	 food 
 choisir 	 auswählen ; wählen 	 verb 
 choquer 	 schockieren 	 verb 
 chose 	 Ding ; Sache 	 object 
 chute 	 Fall ; Sturz 	 abstract 
 château 	 Burg 	 city 
 châtiment 	 Bestrafung ; Strafe 	 society 
 chèque 	 Scheck 	 business 
 chèvre 	 Geiß ; Ziege 	 animal 
 chérie 	 Liebling 	 relations 
 chômeur 	 arbeitslos 	 adjective 
 ciel 	 Himmel 	 nature 
 cinq 	 fünf 	 number 
 cinquante 	 fünfzig 	 number 
 cinquième 	 fünfte ; fünfter 	 number 
 cinéma 	 Kino 	 city 
 cirer 	 polieren 	 verb 
 ciseaux 	 Schere 	 object 
 citer 	 zitieren 	 verb 
 clair 	 deutlich ; klar 	 adjective 
 clair 	 hell ; klar 	 adjective 
 clairsemé 	 spärlich 	 adjective 
 clandestin 	 geheim 	 adjective 
 classe 	 Klasse 	 art 
 classer 	 klassifizieren ; sortieren ; ordnen 	 verb 
 clayette 	 Regal 	 house 
 clientèle 	 Praxis 	 art 
 cloche 	 Glocke 	 object 
 clore 	 schließen ; zumachen 	 verb 
 clou 	 Nagel 	 object 
 club 	 Club ; Klub ; Verein ; Gilde ; Innung ; Zunft 	 society 
 clé 	 Schlüssel 	 house 
 coeur 	 Herz 	 anatomy 
 coffre 	 Kasten ; Kiste ; Truhe 	 object 
 coffre 	 Tresor 	 object 
 col 	 Kragen 	 clothes 
 collant 	 klebrig ; pappig 	 adjective 
 colle 	 Leim 	 material 
 collection 	 Satz ; Set 	 sports 
 coller 	 kleben ; ankleben 	 verb 
 colline 	 Hügel 	 nature 
 comme 	 wie 	 adverb 
 commercer 	 handeln 	 verb 
 commettant 	 Kunde 	 business 
 commun 	 gemeinsam 	 adjective 
 commun 	 üblich 	 adjective 
 communauté 	 Gemeinschaft 	 society 
 communication 	 Anruf 	 communication 
 communiqué 	 Ankündigung ; Bekanntmachung ; Proklamation 	 communication 
 compagnie 	 Gesellschaft 	 society 
 comparer 	 vergleichen 	 verb 
 complet 	 ganz ; gesamt ; gesamter ; völlig 	 adjective 
 complet 	 vollendet ; vollständig 	 adjective 
 composant additionnel 	 Ergänzung ; Zugabe 	 abstract 
 comprendre 	 einschließen 	 verb 
 comprendre 	 enthalten ; umfassen 	 verb 
 comprendre 	 verstehen ; begreifen 	 verb 
 compte 	 Konto 	 business 
 compter 	 beziffern ; nummerieren 	 verb 
 comédien 	 Akteur ; Schauspieler 	 profession 
 concert 	 Konzert 	 art 
 concevoir 	 entwerfen 	 verb 
 concurrence 	 Konkurrenzkampf 	 business 
 concurrence 	 Wettbewerb ; Wettkampf 	 society 
 concurrent 	 Gegenspieler ; Gegner ; Konkurrent ; Rival ; Wettbewerber 	 business 
 condition 	 Zustand ; Status 	 abstract 
 conduire 	 leiten ; führen 	 verb 
 conduire 	 steuern ; lenken 	 verb 
 conduite 	 Benehmen ; Verhalten ; Aufführung ; Haltung 	 abstract 
 confrontation 	 Vergleich 	 abstract 
 congé 	 Urlaub 	 society 
 connaissance 	 Kenntnis 	 education 
 connecteur 	 Anschlussstück ; Stecker 	 abstract 
 conscient 	 bewusst 	 adjective 
 conseil 	 Ausschuss ; Komitee ; Kommission 	 society 
 conseil 	 Kollegium ; Rat 	 society 
 conseil 	 Rat 	 communication 
 considérer 	 betrachten 	 verb 
 construction 	 Konstruktion ; Struktur ; Aufbau 	 house 
 conséquence 	 Effekt ; Ergebnis ; Folge ; Resultat ; Wirkung 	 medicine 
 contenir 	 begrenzen ; beschränken ; einschränken ; limitieren 	 verb 
 continuer 	 fortsetzen ; weitermachen 	 verb 
 contraire 	 Gegenteil 	 abstract 
 contrat 	 Vertrag ; Kontrakt 	 business 
 contre 	 auf 	 preposition 
 contre 	 gegen 	 preposition 
 contribution 	 Besteuerung ; Steuer 	 business 
 contrôler 	 beherrschen ; kontrollieren ; steuern ; führen 	 verb 
 copain 	 Freund ; Freundin 	 family 
 copeau 	 Stückchen 	 object 
 copie 	 Kopie 	 object 
 copier 	 kopieren 	 verb 
 copine 	 Freundin 	 family 
 corde 	 Seil ; Tau ; Strang 	 transport 
 correct 	 korrekt ; richtig 	 adjective 
 costume 	 Kleidung 	 clothes 
 coton 	 Baumwolle 	 material 
 coton 	 Baumwolle 	 material 
 cou 	 Hals 	 anatomy 
 coudre 	 nähen 	 verb 
 couleur 	 Farbe 	 art 
 coup 	 Schlag 	 abstract 
 coup 	 Schlag ; Hieb 	 abstract 
 coup de pied 	 Tritt 	 abstract 
 coup de pied 	 treten 	 verb 
 coupe 	 Pokal 	 object 
 coupe 	 Tasse 	 food 
 couper 	 abschneiden 	 verb 
 couple 	 Paar 	 number 
 coupure 	 Schnitt 	 abstract 
 courant 	 Strom 	 nature 
 courant 	 Strom 	 nature 
 courant 	 Strömung 	 nature 
 courant 	 geläufig 	 adjective 
 courbure 	 Krümmung 	 mathematics 
 courir 	 rennen 	 verb 
 cours 	 Lehrgang ; Kurs 	 education 
 cours 	 Satz ; Tarif 	 business 
 court 	 kurtz 	 adjective 
 couteau 	 Messer 	 food 
 couvercle 	 Deckel ; Hülle ; Mantel ; Umschlag 	 object 
 craindre 	 befürchten ; fürchten 	 verb 
 cravate 	 Krawatte ; Schlips 	 clothes 
 crayon 	 Bleistift 	 object 
 crevé 	 tot ; leblos 	 adjective 
 cri 	 Aufschrei ; Geschrei ; Ruf ; Schrei 	 communication 
 critère 	 Kriterium ; Maß ; Norm ; Standard 	 communication 
 croire 	 glauben ; trauen 	 verb 
 croître 	 anwachsen ; wachsen 	 verb 
 cuiller 	 Löffel 	 food 
 cuir 	 Leder 	 material 
 cuisine 	 küche 	 house 
 cuisiner 	 kochen 	 verb 
 cuisiner 	 kochen 	 verb 
 cuisinier 	 Koch ; Köchin 	 profession 
 culture 	 Kultur 	 society 
 côté 	 Seite 	 mathematics 
 danger 	 Gefahr 	 abstract 
 dangereux 	 gefährlich 	 adjective 
 dans 	 hinein ; im 	 adverb 
 dans 	 in 	 preposition 
 danser 	 tanzen 	 verb 
 date 	 Datum 	 time 
 de 	 aus 	 preposition 
 de qui 	 wessen 	 pronoun 
 degré 	 Grad 	 linguistics 
 dehors 	 außen ; außer ; außerhalb ; draußen 	 adverb 
 demain 	 Morgen 	 time 
 demain 	 morgen 	 adverb 
 demande 	 Anforderung ; Bitte 	 communication 
 demander 	 fragen 	 verb 
 dense 	 dicht ; dick 	 adjective 
 dent 	 Zahn 	 anatomy 
 depuis 	 seit 	 preposition 
 dernier 	 Vergangenheit 	 time 
 dernier 	 letzter 	 adverb 
 dernier 	 zuletzt ; letzte ; letzter 	 adjective 
 derrière 	 hinter 	 adverb 
 dessiner 	 malen ; zeichnen 	 verb 
 dessus 	 oben ; ober ; oberhalb ; über 	 adverb 
 destination 	 Bestimmung 	 abstract 
 destruction 	 Vernichtung 	 abstract 
 deuxième 	 zweite 	 adjective 
 devenir 	 bekommen 	 verb 
 devoir 	 Pflicht ; Verpflichtung 	 abstract 
 dictionnaire 	 Lexikon ; Wörterbuch 	 linguistics 
 difficulté 	 Schwierigkeit 	 abstract 
 différence 	 Unterschied 	 abstract 
 différent 	 anders 	 adjective 
 différent 	 anders ; ungleich 	 adjective 
 dimanche 	 Sonntag 	 time 
 dire 	 sagen ; erzählen 	 verb 
 directement 	 direkt ; gerade ; geradewegs 	 adverb 
 directeur 	 Direktor ; Verwalter ; leitender Verwaltungsangestellter 	 profession 
 direction 	 Führung ; Management ; Verwaltung 	 society 
 direction 	 Management 	 business 
 direction 	 Richtung 	 mathematics 
 discipline 	 Disziplin 	 linguistics 
 discussion 	 Streit ; Kontroverse ; Anfechtung ; Auseinandersetzung 	 mathematics 
 discuter 	 debattieren ; bereden ; besprechen ; diskutieren 	 verb 
 disponible 	 vorhanden 	 adjective 
 distance 	 Abstand ; Distanz ; Entfernung 	 mathematics 
 distinctement 	 deutlich 	 adverb 
 divers 	 verschieden 	 adjective 
 diversité 	 Diversität ; Verschiedenheit ; Vielfalt 	 art 
 divertissement 	 Unterhaltung ; Belustigung ; Vergnügung 	 art 
 diviser 	 teilen ; verteilen 	 verb 
 dix 	 zehn 	 number 
 dix-huit 	 achtzehn 	 number 
 dix-neuf 	 neunzehn 	 number 
 docteur 	 Arzt ; Doktor 	 profession 
 doigt 	 Finger 	 anatomy 
 domination 	 Oberherrschaft 	 society 
 donc 	 also ; daher 	 adverb 
