# Esperanto-English translations created from the Universal dictionary at 2011-05-28T05:46:47-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 aĉeti 	 buy ; purchase 	 verb 
 aĝo 	 age 	 time 
 aĵo 	 matter ; affair ; thing 	 abstract 
 aŭ 	 or 	 conjunction 
 aŭdi 	 listen ; hear ; take heed 	 verb 
 aŭstrala 	 south 	 adjective 
 aŭtobuso 	 bus ; autobus ; coach ; charabanc ; double-decker ; jitney ; motorbus ; motorcoach ; omnibus ; passenger vehicle 	 transport 
 aŭtomata 	 automatic 	 adjective 
 aŭtomobilo 	 car ; auto ; automobile ; machine ; motorcar 	 transport 
 aŭtoritato 	 authority ; authorization ; authorisation ; potency ; dominance ; say-so 	 society 
 aŭtuno 	 fall ; autumn 	 nature 
 bagatela 	 fiddling ; footling ; lilliputian ; little ; niggling ; piddling ; piffling ; petty ; picayune ; trivial 	 adjective 
 baldaux 	 soon ; shortly ; presently ; before long 	 adverb 
 bancxambro 	 bathroom ; bath 	 house 
 banko 	 depository financial institution ; bank ; banking concern ; banking company 	 city 
 bano 	 bath 	 house 
 barbara 	 barbarous ; brutal ; cruel ; fell ; roughshod ; savage ; vicious 	 adjective 
 basbalo 	 baseball ; baseball game 	 sports 
 bastono 	 staff 	 society 
 bastono 	 stick 	 object 
 batalado 	 fight ; fighting ; combat ; scrap 	 abstract 
 batali 	 contend ; fight ; struggle 	 verb 
 bato 	 hit ; hitting ; striking 	 abstract 
 baza 	 basic 	 adjective 
 bazaro 	 market ; marketplace ; market place 	 business 
 bazo 	 base ; base of operations 	 society 
 bazo 	 footing ; basis ; ground 	 mathematics 
 beko 	 beak ; bill ; neb ; nib ; pecker 	 anatomy 
 bela 	 beautiful 	 adjective 
 beleta 	 nice 	 adjective 
 bezono 	 need ; demand 	 abstract 
 biblioteko 	 library 	 city 
 biciklo 	 bicycle ; bike ; wheel ; cycle 	 object 
 biero 	 beer 	 food 
 bildo 	 image 	 art 
 bildo 	 picture ; image ; icon ; ikon 	 art 
 bileto 	 ticket 	 object 
 biologio 	 biology ; biological science 	 science 
 birdo 	 bird 	 animal 
 blanka 	 white 	 adjective 
 blua 	 blue ; bluish ; blueish 	 color 
 boato 	 boat 	 object 
 bobeni 	 wind ; wrap ; roll ; twine 	 verb 
 bobeno 	 coil ; whorl ; roll ; curl ; curlicue ; ringlet ; gyre ; scroll 	 object 
 boltingo 	 nut 	 object 
 bona 	 good 	 adjective 
 bona 	 good ; well 	 adjective 
 bone 	 well ; good 	 adverb 
 bonega 	 excellent ; first-class ; fantabulous ; splendid 	 adjective 
 bonŝanca 	 lucky 	 adjective 
 bordo 	 bank 	 nature 
 botelo 	 bottle 	 food 
 boto 	 boot 	 clothes 
 bovino 	 cow ; moo-cow 	 animal 
 brako 	 arm 	 anatomy 
 brancxo 	 branch 	 nature 
 bretaro 	 shelf 	 house 
 briko 	 brick 	 house 
 broso 	 brush 	 object 
 bruna 	 brown ; brownish ; chocolate-brown ; dark-brown 	 color 
 bruo 	 noise ; dissonance ; racket 	 society 
 bruska 	 brusque ; brusk ; curt ; short 	 adjective 
 brusto 	 breast ; chest 	 anatomy 
 brusto 	 thorax ; chest ; pectus 	 anatomy 
 busxo 	 mouth 	 anatomy 
 butero 	 butter 	 food 
 butono 	 push button ; push ; button 	 object 
 buŝo 	 mouth ; oral cavity ; oral fissure ; rima oris 	 anatomy 
 celo 	 finish ; destination ; goal 	 abstract 
 cent 	 hundred ; one hundred ; 100 ; c 	 number 
 centra 	 central 	 adjective 
 centro 	 center ; centre ; middle ; heart ; eye 	 mathematics 
 centro 	 center ; centre ; midpoint 	 mathematics 
 cerbo 	 brain ; encephalon 	 anatomy 
 certa 	 certain ; sure 	 adjective 
 certe 	 surely ; certainly ; sure ; for sure ; for certain ; sure enough ; sure as shooting 	 adverb 
 cirkla 	 round ; circular 	 adjective 
 cxar 	 for 	 conjunction 
 cxefo 	 head ; chief ; top dog 	 society 
 cxeko 	 check ; bank check ; cheque 	 business 
 cxelo 	 cell ; jail cell ; prison cell 	 society 
 cxevalo 	 horse ; Equus caballus 	 animal 
 cxielo 	 sky 	 nature 
 cxio 	 all 	 adjective 
 cxio 	 everything 	 pronoun 
 cxirkaux 	 about ; around 	 adverb 
 cxirkauxajxo 	 environment ; environs ; surroundings ; surround 	 nature 
 cxiu 	 each 	 adjective 
 cxiu 	 every 	 adjective 
 cxu 	 whether 	 conjunction 
 damagxi 	 hurt ; injure 	 verb 
 damagxo 	 damage ; harm ; impairment 	 transport 
 danci 	 dance ; trip the light fantastic ; trip the light fantastic toe 	 verb 
 danki 	 thank ; give thanks 	 verb 
 danĝera 	 dangerous ; unsafe 	 adjective 
 danĝero 	 danger 	 abstract 
 dato 	 date ; day of the month 	 time 
 datumoj 	 data ; information 	 communication 
 dauxrigi 	 continue ; go on ; proceed ; go along ; keep 	 verb 
 de 	 of 	 preposition 
 decembro 	 December ; Dec 	 time 
 decidi 	 decide ; make up one's mind ; determine 	 verb 
 decido 	 decision ; determination ; conclusion 	 communication 
 defendo 	 defense ; defence ; defense force ; defence force 	 abstract 
 defii 	 confront ; face up ; face 	 verb 
 dek 	 ten ; 10 ; x 	 number 
 deka 	 tenth ; 10th 	 number 
 dekdua 	 twelfth ; 12th 	 number 
 deklivo 	 gradient ; slope 	 mathematics 
 dekoro 	 decoration ; ornament ; ornamentation 	 object 
 dekstra 	 right 	 adjective 
 delikata 	 delicate 	 adjective 
 demando 	 question ; inquiry ; enquiry ; query ; interrogation 	 linguistics 
 dento 	 tooth 	 anatomy 
 depago 	 charge 	 business 
 desegni 	 trace ; draw ; line ; describe ; delineate 	 verb 
 desegno 	 blueprint ; design ; pattern 	 object 
 detalo 	 detail ; particular ; item 	 logistics 
 detruo 	 destruction ; devastation 	 abstract 
 devio 	 deviation ; divergence ; departure ; difference 	 mathematics 
 devo 	 duty 	 abstract 
 deziri 	 wish 	 verb 
 deziro 	 wish ; wishing ; want 	 abstract 
 difekti 	 damage 	 verb 
 diferenca 	 unlike ; dissimilar ; different 	 adjective 
 diferenco 	 difference 	 abstract 
 dika 	 fat 	 adjective 
 dika 	 thick 	 adjective 
 dikfingro 	 thumb ; pollex 	 anatomy 
 dimancxo 	 Sunday ; Lord's Day ; Dominicus ; Sun 	 time 
 direkto 	 direction 	 mathematics 
 direktoro 	 director ; manager ; managing director 	 profession 
 diri 	 state ; say ; tell 	 verb 
