# Russian-German translations created from the Universal dictionary at 2011-08-27T09:42:10-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 весна 	 Frühjahr ; Frühling ; Lenz 	 nature 
 вести 	 leiten 	 verb 
 весь ; целый 	 ganz ; gesamt ; gesamter ; völlig 	 adjective 
 весь ; целый 	 vollständig 	 adjective 
 ветвь 	 Ast 	 nature 
 ветер 	 Wind 	 nature 
 вечер 	 Abend 	 time 
 вечеринка 	 Party 	 society 
 вещество 	 Materie ; Stoff 	 material 
 взвешивать(ся) 	 wiegen 	 verb 
 взгорье ; холм 	 Hügel 	 nature 
 вид 	 Art ; Gattung ; Sorte 	 abstract 
 вид ; взгляд 	 Blick 	 communication 
 видеть 	 sehen 	 verb 
 визит 	 Visite 	 abstract 
 вилка 	 Gabel 	 food 
 вино 	 Wein 	 food 
 включить 	 einschließen 	 verb 
 включённый 	 an ; eingeschaltet 	 adjective 
 вкус 	 Geschmack 	 nature 
 владеть 	 besitzen ; eignen 	 verb 
 влажность 	 Feuchtigkeit 	 nature 
 вместе 	 zusammen 	 adverb 
 внимание 	 Aufmerksamkeit 	 communication 
 внутри 	 innen ; innerhalb ; inwendig 	 adverb 
 внутрь ; в ; до 	 hinein ; im 	 adverb 
 вода 	 Wasser 	 material 
 водить 	 steuern ; lenken 	 verb 
 военная база 	 Basis ; Stützpunkt 	 society 
 военный 	 militärisch 	 adjective 
 возврат 	 Rückkehr ; Wiederkehr 	 abstract 
 воздух 	 Luft 	 nature 
 возможность 	 Chance ; Gelegenheit 	 abstract 
 возможный 	 möglich 	 adjective 
 возражать ; протестовать 	 protestieren 	 verb 
 возраст 	 Alter 	 time 
 возраст 	 Zeitalter ; Alter 	 time 
 война 	 Krieg 	 society 
 волна 	 Welle 	 nature 
 волна ; шерсть 	 Wolle 	 material 
 волос ; ворс 	 Haar 	 anatomy 
 волосы 	 Haare 	 anatomy 
 воля 	 Wille 	 abstract 
 воля 	 Wille 	 society 
 вонять 	 stinken 	 verb 
 вопрос 	 Abfrage ; Erkundigung ; Frage 	 linguistics 
 ворота ; калитка 	 Tor ; Pforte 	 house 
 воротник ; туфля 	 Kragen 	 clothes 
 восемнадцать 	 achtzehn 	 number 
 восемь 	 acht 	 number 
 восемьдесят 	 achtzig 	 number 
 воскресенье 	 Sonntag 	 time 
 воспитание 	 Erziehung 	 society 
 воспитать 	 erziehen ; aufziehen 	 verb 
 воспоминание 	 Andenken ; Erinnerung 	 communication 
 восточный 	 östlich 	 adjective 
 восьмой 	 achte 	 number 
 вперед 	 ehe ; vor 	 adverb 
 вперёд 	 voraus ; vordere 	 adverb 
 впечатление 	 Erlebnis 	 communication 
 врач ; доктор 	 Arzt ; Doktor 	 profession 
 времена года 	 Saison 	 nature 
 время 	 Zeit 	 physics 
 время после полудня 	 Nachmittag 	 time 
 все 	 alles 	 pronoun 
 все ; бсё 	 alles 	 adjective 
 всегда 	 stets ; immer 	 adverb 
 всеобщий ; общий 	 allgemein 	 adjective 
 всерьёз 	 wahrlich ; wirklich 	 adverb 
 встреча 	 Treffen 	 communication 
 встреча ; свидание 	 Verabredung 	 relations 
 встречать(ся) 	 treffen ; zusammenkommen ; begegnen 	 verb 
 вступить 	 eintreten ; hineingehen ; hineinkommen 	 verb 
 вторая степень 	 Quadrat 	 mathematics 
 второй 	 zweite 	 adjective 
 выбор 	 Wahl 	 abstract 
 выборы 	 Wahl 	 mathematics 
 выбрать 	 auswählen ; wählen 	 verb 
 выиграть ; победить 	 gewinnen 	 verb 
 выключенный 	 aus 	 adjective 
 вымыть 	 waschen 	 verb 
 выработать 	 bearbeiten ; verarbeiten 	 verb 
 выравнить 	 ausgleichen 	 verb 
 высокий 	 gross 	 adjective 
 высокий 	 hoch 	 adjective 
 высота 	 Höhe 	 abstract 
 высоцхнуть 	 abtrocknen ; trocknen 	 verb 
 высушить 	 trocknen 	 verb 
 высчитать 	 beziffern ; nummerieren 	 verb 
 выход 	 Osten 	 logistics 
 выходных 	 Wochenende 	 time 
 газета 	 Zeitung 	 object 
 гайка 	 Schraubenmutter 	 object 
 галстук 	 Krawatte ; Schlips 	 clothes 
 гараж 	 Garage 	 transport 
 гвоздь 	 Nagel 	 object 
 ген 	 Gen 	 anatomy 
 генерал 	 General 	 profession 
 гитара 	 Gitarre ; Guitarre 	 object 
 главный 	 hauptsächlich 	 adjective 
 главный 	 wesentlich ; primär ; haupt- ; hauptsächlich 	 adjective 
 гладкий 	 glatt 	 adjective 
 глаз 	 Auge 	 anatomy 
 глотка ; зев ; горло 	 Kehle 	 anatomy 
 глупый 	 dumm 	 adjective 
 глупый 	 töricht 	 adjective 
 глянцевать 	 polieren 	 verb 
 говорить 	 sagen ; erzählen 	 verb 
 говорить 	 sprechen ; reden 	 verb 
 год 	 Jahr 	 time 
 гол 	 Tor 	 sports 
 голова 	 Kopf ; Haupt 	 anatomy 
 голодный 	 hungrig 	 adjective 
 голос 	 Stimme 	 communication 
 голубой 	 blau 	 color 
 гольф 	 Golf 	 travelling 
 гон 	 Brunst ; Brunft 	 nature 
 гора 	 Berg ; Gebirge 	 nature 
 город 	 Stadt 	 society 
 горький 	 bitter ; herb 	 adjective 
 горячий 	 warm 	 adjective 
 господство 	 Oberherrschaft 	 society 
 гостиница ; отель 	 Hotel ; Gasthaus ; Gasthof 	 city 
 гость 	 Gast 	 travelling 
 готовить 	 kochen 	 verb 
 готовый ; приготовленный 	 bereit 	 adjective 
 граница ; лимит 	 Grenze 	 mathematics 
 громкий 	 laut 	 adjective 
 грубый 	 derb ; grob 	 adjective 
 грубый 	 derb ; rau ; roh 	 adjective 
 грудная клетка ; грудь 	 Brust 	 anatomy 
 грудь 	 Brust 	 anatomy 
 группа 	 Gruppe ; Gruppierung 	 abstract 
 грустный 	 beklagenswert ; kläglich 	 adjective 
 грязный 	 schmutzig 	 adjective 
 грязный 	 schmutzig ; unrein ; unsauber 	 adjective 
